frame_cap,player_match_rows,players,matches,rows_with_360,frame_count_mean,prepared_rows,class_0,class_1,logistic_accuracy_mean,logistic_accuracy_std,logistic_roc_auc_mean,logistic_recall_class_1_mean,svm_accuracy_mean,svm_accuracy_std,svm_roc_auc_mean,svm_recall_class_1_mean,xgboost_accuracy_mean,xgboost_accuracy_std,xgboost_roc_auc_mean,xgboost_recall_class_1_mean
25,549,251,216,549,24.825136612021858,274,137,137,0.9890235690235691,0.0089630616199191,1.0,0.9854497354497355,0.9926599326599327,0.008990340346547408,1.0,0.9854497354497355,0.9927272727272728,0.00890723542830247,1.0,0.9928571428571429
50,549,251,216,549,49.642987249544625,274,137,137,0.9854545454545456,0.013606026860996155,0.9994708994708995,0.9783068783068783,0.9926599326599327,0.008990340346547408,1.0,0.9925925925925926,0.9926599326599327,0.008990340346547408,1.0,0.9925925925925926
75,549,251,216,549,74.4608378870674,274,137,137,0.9853872053872055,0.007307560924579412,0.9991965510484029,0.978042328042328,0.9853872053872055,0.007307560924579412,0.9997354497354497,0.978042328042328,0.9927272727272728,0.00890723542830247,1.0,0.9928571428571429
