player_id,player_name,obpi_mean,obpi_median,obpi_matches,obpi_team_names,fifa_player_id,fifa_short_name,fifa_long_name,fifa_positions,fifa_club_name,fifa_league_name,fifa_nationality_name,fifa_version,fifa_update,fifa_update_date,fifa_overall,fifa_potential,fifa_pace,fifa_shooting,fifa_passing,fifa_dribbling,fifa_defending,fifa_physic,fifa_vision,fifa_reactions,match_type,match_confidence
16212,Óscar Rodríguez Arnaiz,0.6702963786452756,0.6702963786452756,1,Sevilla,239335,Óscar,Óscar Rodríguez Arnaiz,"CM, RM, LM",Celta de Vigo,La Liga,Spain,23,9,2023-01-13,76,81,59.0,75.0,76.0,76.0,56.0,55.0,78,76,exact_name,1.0
3913,Edimilson Fernandes,0.6694731225801441,0.6694731225801441,1,Switzerland,215556,E. Fernandes,Edimilson Fernandes Ribeiro,"CB, CM, RWB",FSV Mainz 05,Bundesliga,Switzerland,23,9,2023-01-13,73,75,68.0,65.0,69.0,73.0,76.0,68.0,62,76,token_containment,0.94
26280,Orbelín Pineda Alvarado,0.6603173207770167,0.6603173207770167,1,Mexico,224574,O. Pineda,Orbelín Pineda Alvarado,"CAM, CM",AEK Athens,Super League,Mexico,23,9,2023-01-13,75,76,81.0,75.0,70.0,79.0,62.0,66.0,70,70,exact_name,1.0
11603,Mario Pašalić,0.6504270242208761,0.6504270242208761,1,Croatia,223273,M. Pašalić,Mario Pašalić,"CAM, CF, CM",Atalanta,Serie A,Croatia,23,9,2023-01-13,81,81,75.0,79.0,76.0,81.0,67.0,77.0,77,78,exact_name,1.0
5834,Mario Gavranović,0.6489608163556159,0.6489608163556159,1,Switzerland,179565,M. Gavranović,Mario Gavranović,ST,Kayserispor,Super Lig,Switzerland,23,9,2023-01-13,73,73,62.0,74.0,60.0,72.0,38.0,65.0,61,70,exact_name,1.0
9974,John McGinn,0.6479287522027297,0.6479287522027297,2,Scotland,210881,J. McGinn,John McGinn,"CM, CDM",Aston Villa,Premier League,Scotland,23,9,2023-01-13,78,78,69.0,74.0,75.0,77.0,73.0,81.0,76,78,exact_name,1.0
4354,Philip Foden,0.6476004681671771,0.6476004681671771,1,England,237692,P. Foden,Philip Foden,"LW, CF, CAM",Manchester City,Premier League,England,23,9,2023-01-13,85,92,82.0,78.0,83.0,88.0,57.0,60.0,85,83,exact_name,1.0
3457,Michy Batshuayi Tunga,0.646813048446484,0.646813048446484,1,Belgium,204529,M. Batshuayi,Michy Batshuayi Tunga,ST,Fenerbahçe,Super Lig,Belgium,23,9,2023-01-13,77,77,78.0,78.0,61.0,76.0,36.0,76.0,64,76,exact_name,1.0
5545,Breel-Donald Embolo,0.6460223556238519,0.6000189231518722,3,AS Monaco; Switzerland,222357,B. Embolo,Breel-Donald Embolo,ST,Monaco,Ligue 1,Switzerland,23,9,2023-01-13,78,81,84.0,76.0,70.0,74.0,51.0,82.0,72,76,exact_name,1.0
45114,Eliot Matazo,0.6458916597493034,0.6458916597493034,1,AS Monaco,258433,E. Matazo,Eliot Matazo,"CDM, CM",Monaco,Ligue 1,Belgium,23,9,2023-01-13,73,83,73.0,58.0,70.0,75.0,67.0,75.0,74,69,exact_name,1.0
18015,Dušan Vlahović,0.6453560360605445,0.6453560360605445,2,Serbia,246430,D. Vlahović,Dušan Vlahović,ST,Juventus,Serie A,Serbia,23,9,2023-01-13,84,91,80.0,85.0,66.0,79.0,29.0,81.0,68,85,exact_name,1.0
9922,David Junior Hoilett,0.6443734267104091,0.6443734267104091,2,Canada,189462,J. Hoilett,David Junior Hoilett,"LM, RWB, LWB",Reading,Championship,Canada,23,9,2023-01-13,71,71,79.0,69.0,67.0,74.0,48.0,64.0,68,67,exact_name,1.0
31093,Mateo Retegui,0.6414971055594849,0.6414971055594849,1,Italy,241850,M. Retegui,Mateo Retegui,ST,Tigre,Liga Profesional,Argentina,23,9,2023-01-13,75,83,72.0,76.0,64.0,69.0,36.0,76.0,67,71,exact_name,1.0
50429,Hugo Ekitike,0.6412103669795509,0.6467769785025708,4,Paris Saint-Germain,257289,H. Ekitike,Hugo Ekitike,ST,Paris Saint Germain,Ligue 1,France,23,9,2023-01-13,76,85,74.0,75.0,60.0,76.0,25.0,69.0,63,76,exact_name,1.0
23452,Alex Král,0.6364796917197556,0.6364796917197556,1,Czech Republic,247028,A. Král,Alex Král,"CDM, CM",Schalke 04,Bundesliga,Czech Republic,23,9,2023-01-13,75,80,71.0,70.0,71.0,75.0,72.0,78.0,71,73,exact_name,1.0
8966,Kai Havertz,0.6345169758658449,0.6345169758658449,2,Germany,235790,K. Havertz,Kai Lukas Havertz,"CAM, CF, ST",Chelsea,Premier League,Germany,23,9,2023-01-13,84,91,81.0,79.0,79.0,84.0,45.0,68.0,82,84,token_containment,0.94
88123,Cheikh Ahmadou Bamba Mbacke Dieng,0.6264885461467993,0.6264885461467993,1,Senegal,261084,B. Dieng,Cheikh Ahmadou Bamba Mbacke Dieng,ST,Olympique Marseille,Ligue 1,Senegal,23,9,2023-01-13,74,81,82.0,75.0,60.0,71.0,33.0,62.0,64,69,exact_name,1.0
12411,Arne Maier,0.6262310473772631,0.6262310473772631,1,Augsburg,237629,A. Maier,Arne Maier,"CM, CDM",FC Augsburg,Bundesliga,Germany,23,9,2023-01-13,75,81,70.0,61.0,72.0,75.0,69.0,72.0,77,75,exact_name,1.0
5177,Aleksandr Golovin,0.626220052568597,0.642929430432052,3,AS Monaco; Russia,225663,A. Golovin,Aleksandr Golovin,"LM, RM, CAM",Monaco,Ligue 1,Russia,23,9,2023-01-13,79,80,77.0,72.0,78.0,82.0,60.0,66.0,79,77,exact_name,1.0
32030,Nedim Bajrami,0.6258996956403104,0.6258996956403104,1,Albania,237640,N. Bajrami,Nedim Bajrami,"CAM, CF",Empoli,Serie A,Albania,23,9,2023-01-13,76,83,76.0,68.0,73.0,77.0,59.0,66.0,78,70,exact_name,1.0
20750,Cody Mathès Gakpo,0.6159965754806316,0.6159965754806316,2,Netherlands,242516,C. Gakpo,Cody Mathès Gakpo,LW,Liverpool,Premier League,Netherlands,23,9,2023-01-13,83,88,85.0,82.0,77.0,84.0,42.0,73.0,79,81,exact_name,1.0
28346,Eric Junior Dina Ebimbe,0.6144141036319413,0.6144141036319413,1,Eintracht Frankfurt,248573,J. Dina Ebimbe,Eric Junior Dina Ebimbe,"RM, CM, RWB",Eintracht Frankfurt,Bundesliga,France,23,9,2023-01-13,74,79,81.0,60.0,70.0,75.0,68.0,75.0,71,74,exact_name,1.0
23874,Ali Gholizadeh,0.6143895712512544,0.6143895712512544,1,Iran,243551,A. Gholizadeh,Ali Gholizadeh,"RM, CAM, CF",Sporting Charleroi,Jupiler Pro League,Iran,23,9,2023-01-13,73,74,76.0,68.0,68.0,76.0,48.0,69.0,72,70,exact_name,1.0
